date,Pm_mm,Qm_m3s,Rm_mm
1980-01-31,7.76060097137,278.5806451612903,154.19366664551924
1980-02-29,27.54573213061,166.89655172413794,86.41701558178708
1980-03-31,0.0227989124,120.83870967741936,66.88391329945753
1980-04-30,294.9956221396987,123.68333333333334,66.25006948682253
1980-05-31,285.89281463692,117.19677419354838,64.86811142772534
1980-06-30,161.1455739317893,98.69666666666667,52.866144924816815
1980-07-31,172.14017087300002,96.2290322580645,53.262520492154756
1980-08-31,18.7316305215,87.03225806451613,48.17212976026065
1980-09-30,85.16524231,91.61,49.07022395112096
1980-10-31,16.518711407,117.2741935483871,64.91096284041053
1980-11-30,18.8592229311,176.73333333333332,94.66591252368494
1980-12-31,15.3273043186655,350.96774193548384,194.25973750616598
1981-01-31,5.668139308012,251.1153846153846,138.99171596263608
1981-02-28,14.9626894896,206.60714285714286,103.28975932657816
1981-03-31,3.6477736023399996,132.38709677419354,73.27591569166408
1981-04-30,31.837862370088,76.53,40.992732659963835
1981-05-31,334.61370211427,74.22258064516129,41.082006436391296
1981-06-30,41.5356365706906,66.15333333333334,35.434547339589805
1981-07-31,69.369524192,55.3258064516129,30.62269079014938
1981-08-31,127.0211826308,52.41612903225807,29.012191863397902
1981-09-30,62.0433744155,54.42413793103448,29.151889931476465
1981-10-31,9.5041104377325,78.47096774193548,43.43347770749075
1981-11-30,10.6480660153,132.06,70.73696949006695
1981-12-31,3.40922094593,143.16666666666666,79.2423797495664
1982-01-31,0.9046241371429999,139.58064516129033,77.25752612032908
1982-02-28,1.4157692668826,111.325,55.65505770041086
1982-03-31,29.013423443769998,73.87741935483871,40.890960554836525
1982-04-30,13.563152654349999,59.080000000000005,31.64576826800815
1982-05-31,246.79232512978,49.88709677419355,27.612379049015235
1982-06-30,705.0373573015601,104.06,55.73897505025267
1982-07-31,356.7048193795,142.69032258064516,78.97872452985061
1982-08-31,238.745251214,99.99032258064516,55.344384958443264
1982-09-30,307.0154712009143,144.13333333333333,77.2039618544726
1982-10-31,97.5348165395,155.46428571428572,86.0490800889396
1982-11-30,12.675572674,256.7,137.49947045358311
1982-12-31,12.42971762391,539.4516129032259,298.5850726393028
1983-01-31,25.28132501124,592.8387096774194,328.134692636794
